,品牌,名稱,頻率,記憶體類型,單支容量,雙通道,價格
364,美光,美光 NB 32GB DDR4-3200,3200,DDR4,32GB,0,1599
365,,UMAX 8GB DDR3-1600,1600,DDR3,8GB,0,590
366,金士頓,金士頓 8G DDR3-1600,1600,DDR3,8GB,0,1200
367,,UMAX 16GB,1600,DDR3,16GB,1,1290
368,,UMAX NB 8GB DDR3L-1600 低電壓,1600,DDR3,8GB,0,690
369,金士頓,金士頓 NB 4GB DDR3L-1600 低電壓,1600,DDR3,4GB,0,630
370,金士頓,金士頓 NB 8GB DDR3-1600,1600,DDR3,8GB,0,1200
371,金士頓,金士頓 NB 8GB DDR3L-1600 低電壓,1600,DDR3,8GB,0,1200
372,金士頓,金士頓16GB 5600MT/s D5 ECC CL46 DIMM 1Rx8 Hynix A,5600,,16GB,0,3300
373,金士頓,金士頓32GB 5600MT/s D5 ECC CL46 DIMM 2Rx8 Hynix A,5600,,32GB,0,6190
374,金士頓,金士頓48GB 5600MT/s D5 ECC CL46 DIMM 2Rx8 Hynix M,5600,,48GB,0,9500
375,,❤ 芝奇伺服器專用記憶體 DDR5 ECC DIMM by order7天交貨 三年保固,,DDR5,,0,
376,芝奇,芝奇G5 64G,6000,,64GB,0,16000
377,芝奇,芝奇G5 128G,128,,128GB,0,32800
378,芝奇,芝奇G5 128G,128,,128GB,0,26500
379,芝奇,芝奇G5 192G,192,,192GB,0,40500
380,芝奇,芝奇G5 64G,6400,,64GB,0,17000
381,芝奇,芝奇G5 128G,128,,128GB,0,29000
382,芝奇,芝奇G5 192G,192,,192GB,0,43000
383,芝奇,芝奇G5 NEO 64G,6000,,64GB,0,16000
384,芝奇,芝奇G5 NEO 128G,128,,128GB,0,26500
385,芝奇,芝奇G5 NEO 192G,192,,192GB,0,40500
386,芝奇,芝奇G5 NEO 64G,6400,,64GB,0,17000
387,芝奇,芝奇G5 NEO 128G,128,,128GB,0,29000
388,芝奇,芝奇G5 NEO 192G,192,,192GB,0,43000
389,金士頓,金士頓16GB 5600MT/s D5 ECC Reg CL46 DIMM 1R*8 Hynix A Rambus,5600,,16GB,0,3680
390,金士頓,金士頓32GB 5600MT/s D5 ECC Reg CL46 DIMM 2R*8 Hynix A Rambus,5600,,32GB,0,6500
391,金士頓,金士頓64GB 5600MT/s D5 ECC Reg CL46 DIMM 2R*4 Hynix A Rambus,5600,,64GB,0,12300
392,金士頓,金士頓16GB 3200MHz DDR4 ECC CL22 DIMM 2R*8 Hynix,3200,DDR4,16GB,0,2100
393,金士頓,金士頓32GB 3200MHz DDR4 ECC CL22 DIMM 2R*8 Hynix C,3200,DDR4,32GB,0,3900
394,金士頓,金士頓16GB 3200MHz D4 ECC Reg CL22 DIMM 2R*8 Hynix D Rambus,3200,,16GB,0,2200
395,金士頓,金士頓32GB 3200MHz D4 ECC Reg CL22 DIMM 2R*8 Hynix C Rambus,3200,,32GB,0,4100
396,金士頓,金士頓64GB 3200MHz D4 ECC Reg CL22 DIMM 2R*4 Hynix C Rambus,3200,,64GB,0,7600
